"","name","team","position","games","AB","R","H","doubles","triples","HR","RBI","walks","strike_outs","stolen_bases","caught_stealing_base","AVG","OBP","SLG","OPS"
"240"," Goodrum, N","DET","2B",131,444,55,109,29,3,16,53,42,132,12,4,0.245,0.315,0.432,0.747
"241"," Grichuk, R","TOR","RF",124,424,60,104,32,1,25,61,27,122,3,2,0.245,0.301,0.502,0.803
"242"," Margot, M","SD","CF",141,477,50,117,26,8,8,51,32,88,11,10,0.245,0.292,0.384,0.675
"243"," Pujols, A","LAA","1B",117,465,50,114,20,0,19,64,28,65,1,0,0.245,0.289,0.411,0.7
"244"," Gordon, A","KC","LF",141,506,56,124,24,0,13,54,50,124,12,2,0.245,0.324,0.37,0.694
"245"," Moreland, M","BOS","1B",124,404,57,99,23,4,15,68,50,102,2,0,0.245,0.325,0.433,0.758
"246"," Jackson, A","NYM","CF",116,347,29,85,17,1,3,32,26,133,3,3,0.245,0.299,0.326,0.624
"247"," Rickard, J","BAL","CF",79,213,27,52,10,1,8,23,15,55,4,2,0.244,0.3,0.413,0.713
"248"," Romine, A","NYY","C",77,242,30,59,12,0,10,42,17,67,1,0,0.244,0.295,0.417,0.713
"249"," Longoria, E","SF","3B",125,480,51,117,25,4,16,54,22,101,3,1,0.244,0.281,0.413,0.694
"250"," Prado, M","MIA","3B",54,197,16,48,9,0,1,18,11,35,1,1,0.244,0.287,0.305,0.592
"251"," Conforto, M","NYM","CF",153,543,78,132,25,1,28,82,84,159,3,4,0.243,0.35,0.448,0.797
"252"," Reddick, J","HOU","RF",134,433,63,105,13,2,17,47,49,77,7,2,0.242,0.318,0.4,0.718
"253"," Mancini, T","BAL","LF",156,582,69,141,23,3,24,58,44,153,0,1,0.242,0.299,0.416,0.715
"254"," Granderson, C","MIL","LF",123,343,60,83,22,2,13,38,54,106,2,1,0.242,0.351,0.431,0.782
"255"," Sanchez, Y","CWS","3B",155,600,62,145,34,10,8,55,49,138,14,6,0.242,0.306,0.372,0.678
"256"," Smoak, J","TOR","1B",147,505,67,122,34,0,25,77,83,156,0,1,0.242,0.35,0.457,0.808
"257"," Hundley, N","SF","C",96,282,34,68,13,2,10,31,22,85,2,1,0.241,0.298,0.408,0.706
"258"," Lucroy, J","OAK","C",126,415,41,100,21,1,4,51,29,65,0,0,0.241,0.291,0.325,0.617
"259"," Shaw, T","MIL","3B",152,498,73,120,23,0,32,86,78,108,5,2,0.241,0.345,0.48,0.825
"260"," Grandal, Y","LAD","C",140,440,65,106,23,2,24,68,72,124,2,1,0.241,0.349,0.466,0.815
"261"," Duda, L","ATL","1B",107,328,35,79,14,1,14,50,28,102,1,0,0.241,0.313,0.418,0.731
"262"," DeJong, P","STL","SS",115,436,68,105,25,1,19,68,36,123,1,1,0.241,0.313,0.433,0.746
"263"," Kinsler, I","BOS","2B",128,487,66,117,26,0,14,48,40,64,16,7,0.24,0.301,0.38,0.681
"264"," Devers, R","BOS","3B",121,450,59,108,24,0,21,66,38,121,5,2,0.24,0.298,0.433,0.731
"265"," Anderson, T","CWS","SS",153,567,77,136,28,3,20,64,30,149,26,8,0.24,0.281,0.406,0.687
"266"," Palka, D","CWS","RF",124,417,56,100,15,3,27,67,30,153,2,1,0.24,0.294,0.484,0.778
"267"," Hernandez, T","TOR","LF",134,476,67,114,29,7,22,57,41,163,5,5,0.239,0.302,0.468,0.771
"268"," Briceno, J","LAA","C",46,117,12,28,2,0,5,10,8,35,0,1,0.239,0.299,0.385,0.684
"269"," Bote, D","CHC","3B",74,184,23,44,9,2,6,33,19,60,3,4,0.239,0.319,0.408,0.727
"270"," Goodwin, B","KC","CF",75,159,20,38,6,0,6,25,16,57,4,2,0.239,0.318,0.39,0.708
"271"," Correa, C","HOU","SS",110,402,60,96,20,1,15,65,53,111,3,0,0.239,0.323,0.405,0.728
"272"," Adams, M","STL","1B",121,306,42,73,10,0,21,57,27,73,0,0,0.239,0.309,0.477,0.786
"273"," Swanson, D","ATL","SS",136,478,51,114,25,4,14,59,44,122,10,4,0.238,0.304,0.395,0.699
"274"," Schwarber, K","CHC","LF",137,428,64,102,14,3,26,61,78,140,4,3,0.238,0.356,0.467,0.823
"275"," Wieters, M","WSH","C",76,235,24,56,8,0,8,30,30,45,0,1,0.238,0.33,0.374,0.704
"276"," Descalso, D","ARI","3B",138,349,54,83,22,4,13,57,64,110,0,1,0.238,0.353,0.436,0.789
"277"," Cordero, F","SD","LF",40,139,19,33,5,1,7,19,14,55,5,2,0.237,0.307,0.439,0.746
"278"," Gonzalez, A","NYM","1B",54,169,15,40,5,0,6,26,15,34,0,0,0.237,0.299,0.373,0.672
"279"," Villanueva, C","SD","3B",110,351,42,83,15,0,20,46,23,104,3,0,0.236,0.299,0.45,0.75
"280"," Kratz, E","MIL","C",67,203,18,48,6,0,6,23,6,40,1,0,0.236,0.28,0.355,0.634
"281"," Heredia, G","SEA","LF",125,292,29,69,14,1,5,19,32,52,2,4,0.236,0.318,0.342,0.661
"282"," Hamilton, B","CIN","CF",153,504,74,119,16,9,4,29,46,132,34,10,0.236,0.299,0.327,0.626
"283"," Desmond, I","COL","1B",160,555,82,131,21,8,22,88,53,146,20,6,0.236,0.307,0.422,0.729
"284"," Garcia, A","CWS","RF",93,356,47,84,11,2,19,49,20,102,3,1,0.236,0.281,0.438,0.719
"285"," Gardner, B","NYY","LF",140,530,95,125,20,7,12,45,65,107,16,2,0.236,0.322,0.368,0.69
"286"," Arcia, O","MIL","SS",119,348,32,82,16,0,3,30,15,87,7,4,0.236,0.268,0.307,0.576
"287"," Engel, A","CWS","CF",143,429,49,101,17,4,6,29,18,129,16,8,0.235,0.279,0.336,0.614
"288"," Healy, R","SEA","1B",133,493,51,116,15,0,24,73,27,113,0,0,0.235,0.277,0.412,0.688
"289"," Moncada, Y","CWS","2B",149,578,73,136,32,6,17,61,67,217,12,6,0.235,0.315,0.4,0.714
"290"," Mullins, C","BAL","CF",45,170,23,40,9,0,4,11,17,37,2,3,0.235,0.312,0.359,0.671
"291"," Perez, S","KC","C",129,510,52,120,23,0,27,80,17,108,1,1,0.235,0.274,0.439,0.713
"292"," Guzman, R","TEX","1B",123,387,46,91,18,2,16,58,33,121,1,0,0.235,0.306,0.416,0.722
"293"," Spangenberg, C","SD","3B",116,298,35,70,9,4,7,25,25,108,6,1,0.235,0.298,0.362,0.661
"294"," Ahmed, N","ARI","SS",153,516,61,121,33,5,16,70,40,109,5,4,0.234,0.29,0.411,0.7
"295"," Blandino, A","CIN","2B",69,128,14,30,4,0,1,8,13,41,0,0,0.234,0.324,0.289,0.613
"296"," Hernandez, G","SF","CF",142,414,52,97,16,2,15,40,27,113,8,5,0.234,0.285,0.391,0.676
"297"," Bradley Jr., J","BOS","CF",144,474,76,111,33,4,13,59,46,137,17,1,0.234,0.314,0.403,0.717
"298"," Herrera, R","KC","RF",86,278,25,65,14,3,1,20,19,57,3,5,0.234,0.286,0.317,0.602
"299"," Ortega, R","MIA","LF",41,133,10,31,3,1,0,7,10,23,5,2,0.233,0.287,0.271,0.557
"300"," Cuevas, N","COL","RF",75,146,16,34,4,1,2,10,6,24,1,0,0.233,0.268,0.315,0.583
"301"," Happ, I","CHC","CF",142,387,56,90,19,2,15,44,70,167,8,4,0.233,0.353,0.408,0.761
"302"," Lowe, B","TB","2B",43,129,16,30,6,2,6,25,16,38,2,1,0.233,0.324,0.45,0.774
"303"," Schoop, J","MIL","2B",131,473,61,110,22,1,21,61,19,115,1,1,0.233,0.266,0.416,0.682
"304"," Travis, D","TOR","2B",103,357,41,83,14,3,11,44,16,64,3,2,0.232,0.275,0.381,0.656
"305"," Caratini, V","CHC","C",76,181,21,42,7,0,2,21,12,42,0,0,0.232,0.293,0.304,0.597
"306"," McMahon, R","COL","1B",91,181,17,42,9,1,5,19,18,64,1,0,0.232,0.307,0.376,0.683
"307"," Kieboom, S","WSH","C",52,125,16,29,5,0,2,13,16,28,0,0,0.232,0.322,0.32,0.642
"308"," Forsythe, L","MIN","2B",120,371,37,86,16,0,2,27,41,83,3,0,0.232,0.313,0.291,0.604
"309"," Hedges, A","SD","C",91,303,29,70,14,2,14,37,21,90,3,0,0.231,0.282,0.429,0.711
"310"," Escobar, A","KC","SS",140,485,54,112,22,3,4,34,29,74,8,2,0.231,0.279,0.313,0.593
"311"," Riddle, J","MIA","SS",102,308,28,71,10,4,9,36,20,67,0,3,0.231,0.277,0.377,0.653
"312"," Difo, W","WSH","2B",148,408,55,94,14,7,7,42,39,82,10,3,0.23,0.298,0.35,0.649
"313"," Beckham, T","BAL","3B",96,369,45,85,17,0,12,35,27,100,1,2,0.23,0.287,0.374,0.661
"314"," Kipnis, J","CLE","2B",147,530,65,122,28,1,18,75,60,112,7,1,0.23,0.315,0.389,0.704
"315"," Rondon, J","CWS","2B",42,100,15,23,6,0,6,14,7,30,2,1,0.23,0.28,0.47,0.75
"316"," Austin, T","MIN","1B",69,244,34,56,10,0,17,47,19,95,1,2,0.23,0.287,0.48,0.767
"317"," Dozier, H","KC","1B",102,362,36,83,19,4,11,34,24,109,2,3,0.229,0.278,0.395,0.673
"318"," Swihart, B","BOS","C",82,192,28,44,10,0,3,18,15,57,6,1,0.229,0.285,0.328,0.613
"319"," Tucker, P","ATL","LF",97,166,19,38,11,0,6,27,13,43,0,0,0.229,0.299,0.404,0.703
"320"," Santana, C","PHI","1B",161,560,82,128,28,2,24,86,110,93,2,1,0.229,0.352,0.414,0.766
"321"," Davidson, M","CWS","DH",123,434,51,99,23,0,20,62,52,165,0,0,0.228,0.319,0.419,0.738
"322"," Flowers, T","ATL","C",82,251,34,57,9,0,8,30,35,76,0,0,0.227,0.341,0.359,0.7
"323"," Bour, J","PHI","1B",141,423,49,96,13,1,20,59,73,124,2,0,0.227,0.341,0.404,0.746
"324"," Taylor, M","WSH","CF",134,353,46,80,22,3,6,28,29,116,24,6,0.227,0.287,0.357,0.644
"325"," Solarte, Y","TOR","3B",122,468,50,106,20,0,17,54,31,72,1,3,0.226,0.277,0.378,0.655
"326"," Osuna, J","PIT","3B",51,106,14,24,9,0,3,11,3,22,0,0,0.226,0.252,0.396,0.648
"327"," Zimmer, B","CLE","CF",34,106,14,24,5,0,2,9,7,44,4,1,0.226,0.281,0.33,0.611
"328"," Stassi, M","HOU","C",88,221,28,50,13,0,8,27,23,74,0,0,0.226,0.316,0.394,0.71
"329"," Goins, R","PHI","2B",41,115,10,26,8,1,0,6,4,29,0,0,0.226,0.252,0.313,0.565
"330"," Gattis, E","HOU","C",128,407,49,92,17,0,25,78,33,101,1,0,0.226,0.284,0.452,0.736
"331"," Kingery, S","PHI","SS",147,452,55,102,23,2,8,35,24,126,10,3,0.226,0.267,0.338,0.605
"332"," Pence, H","SF","LF",97,235,19,53,11,1,4,24,11,59,5,1,0.226,0.258,0.332,0.59
"333"," Maldonado, M","HOU","C",119,373,39,84,18,1,9,44,16,98,0,1,0.225,0.276,0.351,0.627
"334"," Tocci, C","TEX","CF",65,120,11,27,3,2,0,5,7,39,0,3,0.225,0.271,0.283,0.555
"335"," Bonifacio, J","KC","RF",69,236,31,53,16,2,4,23,29,71,0,1,0.225,0.312,0.36,0.672
"336"," Candelario, J","DET","3B",144,539,78,121,28,3,19,54,66,160,3,2,0.224,0.317,0.393,0.71
"337"," Davis, R","CLE","CF",101,196,33,44,6,1,1,6,11,48,21,7,0.224,0.278,0.281,0.559
"338"," Iannetta, C","COL","C",110,299,36,67,13,1,11,36,50,87,0,0,0.224,0.345,0.385,0.73
"339"," Fowler, D","OAK","CF",69,192,19,43,3,2,6,23,8,47,6,4,0.224,0.256,0.354,0.61
"340"," Smith, D","NYM","1B",56,143,14,32,11,1,5,11,4,47,0,0,0.224,0.255,0.42,0.675
"341"," Kepler, M","MIN","RF",156,532,80,119,30,4,20,58,71,96,4,5,0.224,0.319,0.408,0.727
"342"," Bruce, J","NYM","RF",94,319,31,71,18,1,9,37,41,75,2,3,0.223,0.31,0.37,0.68
"343"," Chirinos, R","TEX","C",113,360,48,80,15,1,18,65,45,140,2,0,0.222,0.338,0.419,0.757
"344"," Lamb, J","ARI","3B",56,207,34,46,8,0,6,31,26,65,1,2,0.222,0.307,0.348,0.655
"345"," Field, J","MIN","RF",83,221,28,49,13,0,9,21,7,72,4,0,0.222,0.254,0.403,0.657
"346"," Reyes, V","DET","LF",100,212,35,47,5,3,1,12,5,46,9,1,0.222,0.239,0.288,0.526
"347"," Mesoraco, D","NYM","C",84,244,24,54,10,0,11,33,25,52,0,0,0.221,0.303,0.398,0.7
"348"," Seager, K","SEA","3B",155,583,62,129,36,1,22,78,38,138,2,2,0.221,0.273,0.4,0.673
"349"," Dean, A","MIA","LF",34,113,16,25,4,0,4,14,7,22,1,0,0.221,0.279,0.363,0.642
"350"," Garcia, G","STL","SS",114,181,15,40,6,0,3,15,20,37,3,1,0.221,0.309,0.304,0.613
"351"," McCann, J","DET","C",118,427,31,94,16,0,8,39,26,116,0,3,0.22,0.267,0.314,0.581
"352"," Souza Jr., S","ARI","RF",72,241,21,53,15,3,5,29,28,75,6,1,0.22,0.309,0.369,0.678
"353"," Rodriguez, R","DET","2B",62,191,17,42,7,0,5,20,10,42,2,0,0.22,0.256,0.335,0.591
"354"," Walker, N","NYY","1B",113,347,48,76,12,1,11,46,42,87,0,0,0.219,0.309,0.354,0.664
"355"," Joseph, C","BAL","C",82,265,28,58,14,2,3,17,10,68,2,1,0.219,0.254,0.321,0.575
"356"," Cozart, Z","LAA","3B",58,224,29,49,13,2,5,18,19,42,0,0,0.219,0.296,0.362,0.658
"357"," Thames, E","MIL","1B",96,247,41,54,10,3,16,37,29,97,7,0,0.219,0.306,0.478,0.783
"358"," Flaherty, R","ATL","3B",81,161,17,35,6,0,2,13,18,41,4,2,0.217,0.298,0.292,0.59
"359"," Blanco, G","SF","CF",68,189,19,41,7,3,2,12,12,58,6,2,0.217,0.262,0.317,0.58
"360"," Kiermaier, K","TB","CF",88,332,44,72,12,9,7,29,25,91,10,5,0.217,0.282,0.37,0.653
"361"," Marte, J","LAA","1B",90,194,28,42,7,1,7,22,13,41,1,1,0.216,0.273,0.371,0.644
"362"," DeShields, D","TEX","CF",106,334,52,72,14,1,2,22,43,83,20,4,0.216,0.31,0.281,0.591
"363"," Dozier, B","LAD","2B",151,553,81,119,30,2,21,72,70,129,12,3,0.215,0.305,0.391,0.696
"364"," Delmonico, N","CWS","LF",88,284,31,61,11,5,8,25,27,80,1,2,0.215,0.296,0.373,0.669
"365"," Crawford, J","PHI","SS",49,117,17,25,6,3,3,12,13,37,2,0,0.214,0.319,0.393,0.712
"366"," Utley, C","LAD","2B",87,164,18,35,10,1,1,14,17,34,3,1,0.213,0.305,0.305,0.61
"367"," Frazier, T","NYM","3B",115,408,54,87,18,0,18,59,48,112,9,4,0.213,0.303,0.39,0.693
"368"," McCann, B","HOU","C",63,189,22,40,3,0,7,23,19,40,0,1,0.212,0.301,0.339,0.64
"369"," Marisnick, J","HOU","CF",103,213,34,45,8,1,10,28,15,84,6,2,0.211,0.275,0.399,0.674
"370"," Plawecki, K","NYM","C",79,238,33,50,13,2,7,30,28,65,0,1,0.21,0.315,0.37,0.685
"371"," Romine, A","SEA","SS",72,119,15,25,2,1,0,2,7,39,1,0,0.21,0.26,0.244,0.504
"372"," Sucre, J","TB","C",73,182,9,38,5,0,1,17,9,29,1,0,0.209,0.247,0.253,0.5
"373"," Gomez, C","TB","RF",118,360,42,75,15,2,9,32,25,103,12,3,0.208,0.298,0.336,0.634
"374"," Calhoun, K","LAA","RF",137,491,71,102,18,2,19,57,53,133,6,2,0.208,0.283,0.369,0.652
"375"," Joyce, M","OAK","LF",83,207,34,43,9,0,7,15,35,53,0,2,0.208,0.322,0.353,0.675
"376"," Jones, J","DET","LF",129,429,54,89,22,6,11,34,24,142,13,5,0.207,0.266,0.364,0.63
"377"," Vazquez, C","BOS","C",80,251,24,52,10,0,3,16,13,41,4,1,0.207,0.257,0.283,0.54
"378"," Tomlinson, K","SF","SS",63,140,9,29,4,2,0,10,9,35,0,2,0.207,0.265,0.264,0.529
"379"," Owings, C","ARI","2B",106,281,34,58,15,0,4,22,24,75,11,4,0.206,0.272,0.302,0.574
"380"," Guyer, B","CLE","RF",103,194,25,40,11,0,7,27,15,48,1,1,0.206,0.3,0.371,0.671
"381"," Gallo, J","TEX","LF",148,500,82,103,24,1,40,92,74,207,3,4,0.206,0.312,0.498,0.81
"382"," Machado, D","DET","2B",67,214,20,44,13,1,1,21,14,41,1,1,0.206,0.263,0.29,0.553
"383"," Holaday, B","MIA","C",61,151,7,31,5,0,1,16,10,29,0,0,0.205,0.261,0.258,0.519
"384"," Barnes, A","LAD","C",100,200,32,41,5,0,4,14,31,67,4,3,0.205,0.329,0.29,0.619
"385"," Arcia, F","LAA","C",40,103,10,21,5,0,6,23,1,27,1,0,0.204,0.226,0.427,0.654
"386"," Bautista, J","PHI","RF",122,325,52,66,18,0,13,48,67,111,4,3,0.203,0.348,0.378,0.727
"387"," Pena, F","STL","C",58,133,10,27,3,0,2,8,6,43,1,0,0.203,0.239,0.271,0.51
"388"," Murphy, J","ARI","C",87,208,19,42,9,0,9,24,11,71,0,0,0.202,0.244,0.375,0.619
"389"," Young Jr., E","LAA","CF",41,109,12,22,4,2,1,8,6,28,5,1,0.202,0.248,0.303,0.551
"390"," Mahtook, M","DET","CF",67,223,24,45,4,2,9,29,21,66,4,1,0.202,0.276,0.359,0.635
"391"," Bauers, J","TB","1B",96,323,48,65,22,2,11,48,54,104,6,6,0.201,0.316,0.384,0.7
"392"," Zunino, M","SEA","C",113,373,37,75,18,0,20,44,24,150,0,0,0.201,0.259,0.41,0.669
"393"," Mathis, J","ARI","C",69,195,15,39,9,1,1,20,20,66,0,0,0.2,0.272,0.272,0.544
"394"," Peterson, J","BAL","3B",96,210,21,42,13,2,3,28,31,58,13,3,0.2,0.31,0.324,0.634
"395"," Sano, M","MIN","3B",71,266,32,53,14,0,13,41,31,115,0,0,0.199,0.281,0.398,0.679
"396"," Valbuena, L","LAA","3B",96,266,23,53,9,0,9,33,19,100,3,0,0.199,0.253,0.335,0.588
"397"," Brinson, L","MIA","CF",109,382,31,76,10,5,11,42,17,120,2,1,0.199,0.24,0.338,0.577
"398"," Bird, G","NYY","1B",82,272,23,54,16,1,11,38,30,78,0,0,0.199,0.286,0.386,0.672
"399"," Santander, A","BAL","LF",33,101,8,20,5,1,1,6,6,21,1,0,0.198,0.25,0.297,0.547
"400"," Knapp, A","PHI","C",84,187,19,37,6,2,4,15,24,75,1,0,0.198,0.294,0.316,0.61
"401"," Asuaje, C","SD","2B",79,189,15,37,8,1,2,19,24,46,1,1,0.196,0.286,0.28,0.566
"402"," Duvall, A","ATL","LF",138,384,48,75,20,0,15,61,37,117,2,2,0.195,0.274,0.365,0.639
"403"," Rua, R","TEX","LF",61,139,17,27,3,1,6,12,5,53,3,1,0.194,0.221,0.36,0.58
"404"," Cuthbert, C","KC","3B",30,103,11,20,2,0,3,7,11,23,0,1,0.194,0.282,0.301,0.583
"405"," Martin, R","TOR","C",90,289,37,56,8,0,10,25,56,82,0,3,0.194,0.338,0.325,0.663
"406"," Shuck, JB","MIA","RF",70,130,10,25,3,1,0,4,10,22,2,2,0.192,0.255,0.231,0.486
"407"," Sierra, M","MIA","CF",54,147,10,28,3,0,0,7,6,39,3,2,0.19,0.222,0.211,0.433
"408"," Butera, D","COL","C",61,163,13,31,9,0,3,21,15,39,0,0,0.19,0.264,0.301,0.564
"409"," Dyson, J","ARI","CF",67,206,29,39,4,2,2,12,27,34,16,3,0.189,0.282,0.257,0.539
"410"," Reyes, J","NYM","3B",110,228,30,43,12,3,4,16,22,39,5,2,0.189,0.26,0.32,0.58
"411"," Phillips, B","KC","RF",51,134,15,25,4,3,2,11,11,61,1,1,0.187,0.252,0.306,0.558
"412"," Sanchez, G","NYY","C",89,323,51,60,17,0,18,53,46,94,1,0,0.186,0.291,0.406,0.697
"413"," Morrison, L","MIN","1B",95,318,41,59,13,0,15,39,34,80,1,0,0.186,0.276,0.368,0.644
"414"," Robinson, D","TEX","CF",47,109,20,20,3,0,3,9,16,57,2,1,0.183,0.288,0.294,0.582
"415"," Sisco, C","BAL","C",63,160,13,29,8,0,2,16,13,66,1,0,0.181,0.288,0.269,0.557
"416"," Altherr, A","PHI","CF",105,243,28,44,11,1,8,38,36,91,3,2,0.181,0.295,0.333,0.628
"417"," Alvarez, P","BAL","3B",45,111,18,20,2,0,8,18,16,36,0,0,0.18,0.283,0.414,0.698
"418"," Fowler, D","STL","RF",90,289,40,52,10,0,8,31,38,75,5,2,0.18,0.278,0.298,0.576
"419"," Almonte, A","KC","CF",50,134,15,24,1,2,3,9,15,36,2,2,0.179,0.26,0.284,0.544
"420"," Dixon, B","CIN","2B",74,118,14,21,6,0,5,10,6,43,0,0,0.178,0.218,0.356,0.574
"421"," Ward, T","LAA","3B",40,135,14,24,3,0,6,15,9,45,2,0,0.178,0.245,0.333,0.578
"422"," Wilson, B","CHC","C",47,135,12,24,8,0,2,16,12,37,0,0,0.178,0.242,0.281,0.523
"423"," Leon, S","BOS","C",89,265,30,47,12,0,5,22,15,75,1,0,0.177,0.232,0.279,0.511
"424"," Lopez, R","SD","C",37,102,11,18,2,0,3,13,13,43,1,0,0.176,0.265,0.284,0.549
"425"," Davis, J","HOU","3B",42,103,9,18,2,0,1,5,10,29,0,0,0.175,0.248,0.223,0.471
"426"," Rivera, Y","MIA","3B",111,139,13,24,3,0,1,9,19,51,2,1,0.173,0.269,0.216,0.485
"427"," Wolters, T","COL","C",74,182,19,31,4,4,3,27,26,33,2,0,0.17,0.292,0.286,0.577
"428"," Severino, P","WSH","C",70,190,14,32,9,0,2,15,18,47,1,0,0.168,0.254,0.247,0.501
"429"," Young, C","LAA","RF",56,113,17,19,2,1,6,13,11,37,2,0,0.168,0.252,0.363,0.615
"430"," Davis, C","BAL","1B",128,470,40,79,12,0,16,49,41,192,2,0,0.168,0.243,0.296,0.539
"431"," Perez, R","CLE","C",62,179,16,30,9,1,2,19,21,70,1,0,0.168,0.256,0.263,0.519
"432"," Rodriguez, S","PIT","2B",66,150,21,25,5,1,5,19,22,60,1,0,0.167,0.277,0.313,0.591
"433"," Avila, A","ARI","C",80,194,13,32,6,0,7,20,37,90,0,0,0.165,0.299,0.304,0.603
"434"," Valaika, P","COL","3B",68,122,8,19,5,0,2,5,9,30,0,0,0.156,0.214,0.246,0.46
"435"," Cowart, K","LAA","SS",47,112,7,15,7,1,1,10,10,44,1,0,0.134,0.21,0.241,0.451
"436"," Thompson, T","CWS","RF",51,128,15,15,3,0,3,9,7,50,3,1,0.117,0.162,0.211,0.373
