County,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,DensityPop,DensityHousing
Hendricks County,Indiana,104093.00,39229.00,408.88,0.48,408.39,254.90,96.10
Henry County,Indiana,48508.00,20592.00,394.90,1.97,392.93,123.50,52.40
Howard County,Indiana,84964.00,37604.00,293.93,0.86,293.07,289.90,128.30
Huntington County,Indiana,38075.00,15269.00,387.94,5.35,382.59,99.50,39.90
Jackson County,Indiana,41335.00,17137.00,513.75,4.44,509.31,81.20,33.60
Jasper County,Indiana,30043.00,11236.00,561.22,1.36,559.87,53.70,20.10
Jay County,Indiana,21806.00,9074.00,383.82,0.18,383.64,56.80,23.70
Jefferson County,Indiana,31705.00,13386.00,362.94,1.58,361.37,87.70,37.00
Jennings County,Indiana,27554.00,11469.00,378.35,1.13,377.22,73.00,30.40
Johnson County,Indiana,115209.00,45095.00,321.56,1.36,320.19,359.80,140.80
Knox County,Indiana,39256.00,17305.00,524.06,8.22,515.83,76.10,33.50
Kosciusko County,Indiana,74057.00,32188.00,554.34,16.84,537.50,137.80,59.90
LaGrange County,Indiana,34909.00,12938.00,386.72,7.15,379.56,92.00,34.10
Lake County,Indiana,484564.00,194992.00,626.34,129.36,496.98,975.00,392.40
LaPorte County,Indiana,110106.00,45621.00,613.04,14.80,598.24,184.10,76.30
Lawrence County,Indiana,45922.00,20560.00,452.07,3.24,448.83,102.30,45.80
Madison County,Indiana,133358.00,56939.00,452.91,0.78,452.13,295.00,125.90
Marion County,Indiana,860454.00,387183.00,403.04,6.79,396.25,2171.50,977.10
Marshall County,Indiana,45128.00,18099.00,449.92,5.65,444.27,101.60,40.70
Martin County,Indiana,10369.00,4729.00,340.53,4.39,336.14,30.80,14.10
Miami County,Indiana,36082.00,15299.00,377.36,1.74,375.62,96.10,40.70
Monroe County,Indiana,120563.00,50846.00,411.32,16.97,394.35,305.70,128.90
Montgomery County,Indiana,37629.00,15678.00,505.34,0.83,504.51,74.60,31.10
Morgan County,Indiana,66689.00,25908.00,409.39,2.92,406.47,164.10,63.70
Newton County,Indiana,14566.00,5726.00,403.53,1.68,401.85,36.20,14.20
Noble County,Indiana,46275.00,18233.00,417.61,6.50,411.11,112.60,44.40
Ohio County,Indiana,5623.00,2424.00,87.47,0.75,86.72,64.80,28.00
Orange County,Indiana,19306.00,8348.00,408.20,8.68,399.52,48.30,20.90
Owen County,Indiana,21786.00,9853.00,387.83,2.65,385.18,56.60,25.60
Parke County,Indiana,17241.00,7539.00,450.10,5.32,444.77,38.80,17.00
Perry County,Indiana,18899.00,8223.00,386.34,4.95,381.39,49.60,21.60
Pike County,Indiana,12837.00,5611.00,341.08,4.91,336.18,38.20,16.70
Porter County,Indiana,146798.00,57616.00,521.61,103.50,418.11,351.10,137.80
Posey County,Indiana,27061.00,11076.00,419.45,10.95,408.50,66.20,27.10
Pulaski County,Indiana,13755.00,5918.00,434.57,0.89,433.68,31.70,13.60
Putnam County,Indiana,36019.00,13505.00,482.58,2.27,480.31,75.00,28.10
Randolph County,Indiana,27401.00,11775.00,453.23,0.39,452.83,60.50,26.00
Ripley County,Indiana,26523.00,10482.00,447.91,1.55,446.36,59.40,23.50
Rush County,Indiana,18261.00,7337.00,408.62,0.34,408.28,44.70,18.00
St. Joseph County,Indiana,265559.00,107013.00,460.97,3.63,457.34,580.70,234.00
Scott County,Indiana,22960.00,9737.00,192.73,2.34,190.39,120.60,51.10
Shelby County,Indiana,43445.00,17633.00,413.11,0.47,412.64,105.30,42.70
Spencer County,Indiana,20391.00,8333.00,401.23,2.55,398.69,51.10,20.90
Starke County,Indiana,23556.00,10201.00,312.31,3.00,309.31,76.20,33.00
Steuben County,Indiana,33214.00,17337.00,322.48,13.76,308.72,107.60,56.20
Sullivan County,Indiana,21751.00,8804.00,454.04,6.85,447.20,48.60,19.70
Switzerland County,Indiana,9065.00,4226.00,223.52,2.34,221.18,41.00,19.10
Tippecanoe County,Indiana,148955.00,58343.00,503.07,3.28,499.79,298.00,116.70
Tipton County,Indiana,16577.00,6848.00,260.41,0.02,260.39,63.70,26.30
Union County,Indiana,7349.00,3077.00,165.25,3.70,161.55,45.50,19.00
Vanderburgh County,Indiana,171922.00,76300.00,235.74,1.16,234.57,732.90,325.30
Vermillion County,Indiana,16788.00,7405.00,259.94,3.05,256.89,65.40,28.80
Vigo County,Indiana,105848.00,45203.00,410.47,7.17,403.29,262.50,112.10
Wabash County,Indiana,34960.00,14034.00,421.07,7.90,413.17,84.60,34.00
Warren County,Indiana,8419.00,3477.00,366.60,1.72,364.88,23.10,9.50
Warrick County,Indiana,52383.00,20546.00,390.86,6.79,384.07,136.40,53.50
Washington County,Indiana,27223.00,11191.00,516.53,2.12,514.42,52.90,21.80
Wayne County,Indiana,71097.00,30468.00,404.34,0.78,403.57,176.20,75.50
Wells County,Indiana,27600.00,10970.00,370.41,0.45,369.96,74.60,29.70
White County,Indiana,25267.00,12083.00,508.80,3.56,505.24,50.00,23.90
Whitley County,Indiana,30707.00,12545.00,337.90,2.38,335.52,91.50,37.40
Adair County,Iowa,8243.00,3690.00,570.31,1.00,569.30,14.50,6.50
Adams County,Iowa,4482.00,2109.00,425.41,1.87,423.54,10.60,5.00
Allamakee County,Iowa,14675.00,7142.00,658.71,19.14,639.56,22.90,11.20
Appanoose County,Iowa,13721.00,6697.00,516.35,20.10,496.25,27.60,13.50
Audubon County,Iowa,6830.00,2995.00,443.58,0.44,443.13,15.40,6.80
Benton County,Iowa,25308.00,10377.00,718.45,2.06,716.39,35.30,14.50
Black Hawk County,Iowa,128012.00,51759.00,571.91,4.80,567.11,225.70,91.30
Boone County,Iowa,26224.00,10968.00,573.51,2.05,571.46,45.90,19.20
Bremer County,Iowa,23325.00,9337.00,439.60,1.70,437.90,53.30,21.30
Buchanan County,Iowa,21093.00,8697.00,573.35,2.09,571.26,36.90,15.20
Buena Vista County,Iowa,20411.00,8145.00,580.07,5.28,574.78,35.50,14.20
Butler County,Iowa,15305.00,6578.00,581.56,1.18,580.38,26.40,11.30
Calhoun County,Iowa,11115.00,5219.00,572.29,2.14,570.15,19.50,9.20
Carroll County,Iowa,21421.00,9019.00,570.24,0.92,569.31,37.60,15.80
Cass County,Iowa,14684.00,6590.00,565.01,0.68,564.33,26.00,11.70
Cedar County,Iowa,18187.00,7570.00,581.96,2.44,579.52,31.40,13.10
Cerro Gordo County,Iowa,46447.00,21488.00,575.12,6.80,568.33,81.70,37.80
Cherokee County,Iowa,13035.00,5850.00,577.34,0.18,577.15,22.60,10.10
Chickasaw County,Iowa,13095.00,5593.00,505.48,0.84,504.64,25.90,11.10
Clarke County,Iowa,9133.00,3934.00,431.72,0.60,431.12,21.20,9.10
Clay County,Iowa,17372.00,7828.00,572.51,3.63,568.89,30.50,13.80
Clayton County,Iowa,18678.00,8619.00,792.81,14.00,778.81,24.00,11.10
Clinton County,Iowa,50149.00,21585.00,710.19,15.21,694.98,72.20,31.10
Crawford County,Iowa,16942.00,6958.00,714.99,0.63,714.36,23.70,9.70
Dallas County,Iowa,40750.00,16529.00,591.73,5.26,586.47,69.50,28.20
Davis County,Iowa,8541.00,3530.00,504.89,1.65,503.24,17.00,7.00
Decatur County,Iowa,8689.00,3833.00,533.32,1.52,531.80,16.30,7.20
Delaware County,Iowa,18404.00,7682.00,579.05,1.19,577.85,31.80,13.30
Des Moines County,Iowa,42351.00,18643.00,429.80,13.65,416.15,101.80,44.80
Dickinson County,Iowa,16424.00,11375.00,403.69,22.63,381.06,43.10,29.90
Dubuque County,Iowa,89143.00,35505.00,616.56,8.41,608.16,146.60,58.40
Emmet County,Iowa,11027.00,4889.00,402.38,6.63,395.74,27.90,12.40
Fayette County,Iowa,22008.00,9505.00,731.45,0.52,730.92,30.10,13.00
Floyd County,Iowa,16900.00,7317.00,501.31,0.74,500.56,33.80,14.60
Franklin County,Iowa,10704.00,4763.00,583.01,0.57,582.44,18.40,8.20
Fremont County,Iowa,8010.00,3514.00,516.76,5.68,511.08,15.70,6.90
Greene County,Iowa,10366.00,4623.00,571.13,2.72,568.41,18.20,8.10
Grundy County,Iowa,12369.00,5304.00,502.55,0.03,502.51,24.60,10.60
Guthrie County,Iowa,11353.00,5467.00,593.06,2.46,590.60,19.20,9.30
Hamilton County,Iowa,16438.00,7082.00,577.44,0.76,576.68,28.50,12.30
Hancock County,Iowa,12100.00,5164.00,573.14,2.03,571.11,21.20,9.00
Hardin County,Iowa,18812.00,8318.00,569.93,0.68,569.26,33.00,14.60
Harrison County,Iowa,15666.00,6602.00,700.93,4.20,696.72,22.50,9.50
Henry County,Iowa,20336.00,8246.00,436.68,2.24,434.44,46.80,19.00
Howard County,Iowa,9932.00,4327.00,473.76,0.36,473.40,21.00,9.10
Humboldt County,Iowa,10381.00,4645.00,435.73,1.31,434.41,23.90,10.70
Ida County,Iowa,7837.00,3506.00,432.23,0.52,431.71,18.20,8.10
Iowa County,Iowa,15671.00,6545.00,587.35,0.90,586.45,26.70,11.20
Jackson County,Iowa,20296.00,8949.00,649.75,13.66,636.09,31.90,14.10
Jasper County,Iowa,37213.00,15659.00,732.93,2.94,729.99,51.00,21.50
Jefferson County,Iowa,16181.00,7241.00,436.72,1.38,435.34,37.20,16.60
Johnson County,Iowa,111006.00,45831.00,623.35,8.87,614.48,180.70,74.60
Jones County,Iowa,20221.00,8126.00,576.70,1.39,575.31,35.10,14.10
Keokuk County,Iowa,11400.00,5013.00,579.94,0.75,579.19,19.70,8.70
Kossuth County,Iowa,17163.00,7605.00,974.39,1.38,973.01,17.60,7.80
Lee County,Iowa,38052.00,16612.00,538.77,21.37,517.39,73.50,32.10
Linn County,Iowa,191701.00,80551.00,724.55,7.10,717.44,267.20,112.30
Louisa County,Iowa,12183.00,5133.00,417.64,15.73,401.92,30.30,12.80
Lucas County,Iowa,9422.00,4239.00,434.17,3.63,430.55,21.90,9.80
Lyon County,Iowa,11763.00,4758.00,587.63,0.13,587.50,20.00,8.10
Madison County,Iowa,14019.00,5661.00,562.30,1.16,561.14,25.00,10.10
Mahaska County,Iowa,22335.00,9551.00,573.40,2.53,570.87,39.10,16.70
Marion County,Iowa,32052.00,12755.00,570.53,16.32,554.21,57.80,23.00
Marshall County,Iowa,39311.00,16324.00,573.02,0.70,572.32,68.70,28.50
Mills County,Iowa,14547.00,5671.00,439.67,3.13,436.53,33.30,13.00
Mitchell County,Iowa,10874.00,4594.00,469.40,0.47,468.92,23.20,9.80
Monona County,Iowa,10020.00,4660.00,698.85,5.73,693.12,14.50,6.70
Monroe County,Iowa,8016.00,3588.00,434.11,0.70,433.41,18.50,8.30
Montgomery County,Iowa,11771.00,5399.00,424.81,0.93,423.88,27.80,12.70
Muscatine County,Iowa,41722.00,16786.00,449.07,10.40,438.67,95.10,38.30
O'Brien County,Iowa,15102.00,6509.00,573.25,0.17,573.08,26.40,11.40
Osceola County,Iowa,7003.00,3012.00,399.48,0.71,398.77,17.60,7.60
Page County,Iowa,16976.00,7302.00,535.35,0.52,534.82,31.70,13.70
Palo Alto County,Iowa,10147.00,4631.00,569.40,5.57,563.83,18.00,8.20
Plymouth County,Iowa,24849.00,9880.00,863.96,0.39,863.56,28.80,11.40
Pocahontas County,Iowa,8662.00,3988.00,579.13,1.42,577.70,15.00,6.90
Polk County,Iowa,374601.00,156447.00,591.90,22.55,569.35,657.90,274.80
Pottawattamie County,Iowa,87704.00,35761.00,959.94,5.68,954.26,91.90,37.50
Poweshiek County,Iowa,18815.00,8556.00,586.17,1.14,585.03,32.20,14.60
Ringgold County,Iowa,5469.00,2789.00,538.92,1.26,537.67,10.20,5.20
Sac County,Iowa,11529.00,5460.00,578.38,2.56,575.82,20.00,9.50
Scott County,Iowa,158668.00,65649.00,468.17,10.24,457.93,346.50,143.40
Shelby County,Iowa,13173.00,5459.00,591.37,0.54,590.83,22.30,9.20
Sioux County,Iowa,31589.00,11260.00,768.58,0.70,767.88,41.10,14.70
Story County,Iowa,79981.00,30630.00,573.70,0.84,572.86,139.60,53.50
Tama County,Iowa,18103.00,7583.00,722.37,1.07,721.30,25.10,10.50
Taylor County,Iowa,6958.00,3199.00,534.83,0.87,533.95,13.00,6.00
Union County,Iowa,12309.00,5657.00,425.95,1.57,424.39,29.00,13.30
Van Buren County,Iowa,7809.00,3581.00,490.55,5.73,484.82,16.10,7.40
Wapello County,Iowa,36051.00,15873.00,435.98,4.17,431.81,83.50,36.80
Warren County,Iowa,40671.00,15289.00,573.21,1.56,571.64,71.10,26.70
Washington County,Iowa,20670.00,8543.00,570.77,2.06,568.71,36.30,15.00
Wayne County,Iowa,6730.00,3357.00,527.08,1.48,525.60,12.80,6.40
Webster County,Iowa,40235.00,16969.00,718.05,2.82,715.23,56.30,23.70
Winnebago County,Iowa,11723.00,5065.00,401.57,1.10,400.47,29.30,12.60
Winneshiek County,Iowa,21310.00,8208.00,689.88,0.27,689.61,30.90,11.90
Woodbury County,Iowa,103877.00,41394.00,877.39,4.79,872.59,119.00,47.40
Worth County,Iowa,7909.00,3534.00,401.71,1.71,400.00,19.80,8.80
Wright County,Iowa,14334.00,6559.00,582.54,1.82,580.72,24.70,11.30
Allen County,Kansas,14385.00,6449.00,505.18,2.18,503.01,28.60,12.80
Anderson County,Kansas,8110.00,3596.00,584.29,1.38,582.92,13.90,6.20
Atchison County,Kansas,16774.00,6818.00,435.04,2.70,432.34,38.80,15.80
Barber County,Kansas,5307.00,2740.00,1136.21,2.10,1134.11,4.70,2.40
Barton County,Kansas,28205.00,12888.00,900.46,6.46,894.00,31.50,14.40
Bourbon County,Kansas,15379.00,7135.00,638.82,1.73,637.09,24.10,11.20
Brown County,Kansas,10724.00,4815.00,572.20,1.52,570.67,18.80,8.40
Butler County,Kansas,59482.00,23176.00,1446.42,18.57,1427.85,41.70,16.20
Chase County,Kansas,3030.00,1529.00,778.01,2.12,775.89,3.90,2.00
Chautauqua County,Kansas,4359.00,2169.00,644.83,3.14,641.69,6.80,3.40
Cherokee County,Kansas,22605.00,10031.00,590.96,3.85,587.12,38.50,17.10
Cheyenne County,Kansas,3165.00,1636.00,1020.84,0.95,1019.88,3.10,1.60
Clark County,Kansas,2390.00,1111.00,977.20,2.52,974.68,2.50,1.10
Clay County,Kansas,8822.00,4084.00,655.44,11.60,643.84,13.70,6.30
Cloud County,Kansas,10268.00,4838.00,718.47,2.84,715.63,14.30,6.80
Coffey County,Kansas,8865.00,3876.00,654.57,24.82,629.75,14.10,6.20
Comanche County,Kansas,1967.00,1088.00,789.70,1.39,788.31,2.50,1.40
Cowley County,Kansas,36291.00,15673.00,1132.60,6.37,1126.24,32.20,13.90
Crawford County,Kansas,38242.00,17221.00,595.05,2.14,592.91,64.50,29.00
Decatur County,Kansas,3472.00,1821.00,894.18,0.63,893.55,3.90,2.00
Dickinson County,Kansas,19344.00,8686.00,852.12,4.20,847.92,22.80,10.20
Doniphan County,Kansas,8249.00,3489.00,397.07,4.89,392.18,21.00,8.90
Douglas County,Kansas,99962.00,40250.00,474.47,17.60,456.87,218.80,88.10
Edwards County,Kansas,3449.00,1754.00,622.10,0.08,622.02,5.50,2.80
Elk County,Kansas,3261.00,1860.00,650.36,3.07,647.29,5.00,2.90
Ellis County,Kansas,27507.00,12078.00,900.47,0.50,899.97,30.60,13.40
Ellsworth County,Kansas,6525.00,3228.00,723.44,7.54,715.91,9.10,4.50
Finney County,Kansas,40523.00,13763.00,1302.62,0.84,1301.77,31.10,10.60
Ford County,Kansas,32458.00,11650.00,1099.29,0.79,1098.50,29.50,10.60
Franklin County,Kansas,24784.00,10229.00,576.65,2.80,573.85,43.20,17.80
Geary County,Kansas,27947.00,11959.00,404.39,19.70,384.69,72.60,31.10
Gove County,Kansas,3068.00,1423.00,1071.47,0.09,1071.38,2.90,1.30
Graham County,Kansas,2946.00,1553.00,898.67,0.38,898.29,3.30,1.70
Grant County,Kansas,7909.00,3027.00,575.04,0.18,574.86,13.80,5.30
Gray County,Kansas,5904.00,2181.00,869.34,0.44,868.90,6.80,2.50
Greeley County,Kansas,1534.00,712.00,778.01,0.00,778.01,2.00,0.90
Greenwood County,Kansas,7673.00,4273.00,1152.59,12.92,1139.67,6.70,3.70
Hamilton County,Kansas,2670.00,1211.00,997.62,1.13,996.49,2.70,1.20
Harper County,Kansas,6536.00,3270.00,802.95,1.51,801.44,8.20,4.10
Harvey County,Kansas,32869.00,13378.00,540.50,1.17,539.33,60.90,24.80
Haskell County,Kansas,4307.00,1639.00,577.73,0.36,577.37,7.50,2.80
Hodgeman County,Kansas,2085.00,945.00,860.24,0.32,859.92,2.40,1.10
Jackson County,Kansas,12657.00,5094.00,657.86,2.27,655.59,19.30,7.80
Jefferson County,Kansas,18426.00,7491.00,556.94,20.83,536.11,34.40,14.00
Jewell County,Kansas,3791.00,2103.00,914.47,5.29,909.18,4.20,2.30
Johnson County,Kansas,451086.00,181612.00,480.15,3.37,476.78,946.10,380.90
Kearny County,Kansas,4531.00,1657.00,871.50,0.44,871.06,5.20,1.90
Kingman County,Kansas,8673.00,3852.00,866.70,3.35,863.35,10.00,4.50
Kiowa County,Kansas,3278.00,1643.00,722.62,0.23,722.39,4.50,2.30
Labette County,Kansas,22835.00,10306.00,653.30,4.48,648.82,35.20,15.90
Lane County,Kansas,2155.00,1065.00,717.43,0.21,717.22,3.00,1.50
Leavenworth County,Kansas,68691.00,24401.00,468.33,5.06,463.27,148.30,52.70
Lincoln County,Kansas,3578.00,1853.00,719.94,1.07,718.87,5.00,2.60
Linn County,Kansas,9570.00,4720.00,606.29,7.62,598.67,16.00,7.90
Logan County,Kansas,3046.00,1423.00,1073.09,0.11,1072.99,2.80,1.30
Lyon County,Kansas,35935.00,14757.00,855.14,4.27,850.87,42.20,17.30
McPherson County,Kansas,29554.00,11830.00,901.24,1.52,899.71,32.80,13.10
Marion County,Kansas,13361.00,5882.00,953.54,10.43,943.11,14.20,6.20
Marshall County,Kansas,10965.00,4999.00,904.36,1.83,902.53,12.10,5.50
Meade County,Kansas,4631.00,1968.00,979.66,1.24,978.42,4.70,2.00
Miami County,Kansas,28351.00,10984.00,590.15,13.43,576.72,49.20,19.00
Mitchell County,Kansas,6932.00,3340.00,718.62,18.80,699.82,9.90,4.80
Montgomery County,Kansas,36252.00,17207.00,651.40,6.19,645.20,56.20,26.70
Morris County,Kansas,6104.00,3160.00,702.84,5.46,697.38,8.80,4.50
Morton County,Kansas,3496.00,1519.00,729.94,0.02,729.92,4.80,2.10
Nemaha County,Kansas,10717.00,4340.00,719.40,1.41,717.99,14.90,6.00
Neosho County,Kansas,16997.00,7461.00,578.02,6.27,571.75,29.70,13.00
Ness County,Kansas,3454.00,1835.00,1075.00,0.26,1074.75,3.20,1.70
Norton County,Kansas,5953.00,2673.00,881.39,3.55,877.84,6.80,3.00
Osage County,Kansas,16712.00,7018.00,719.23,15.72,703.50,23.80,10.00
Osborne County,Kansas,4452.00,2419.00,894.28,1.89,892.39,5.00,2.70
Ottawa County,Kansas,6163.00,2755.00,721.90,0.79,721.11,8.50,3.80
Pawnee County,Kansas,7233.00,3114.00,754.56,0.38,754.17,9.60,4.10
Phillips County,Kansas,6001.00,3088.00,894.81,8.58,886.23,6.80,3.50
Pottawatomie County,Kansas,18209.00,7311.00,862.07,17.83,844.24,21.60,8.70
Pratt County,Kansas,9647.00,4633.00,735.76,0.76,734.99,13.10,6.30
Rawlins County,Kansas,2966.00,1565.00,1069.72,0.11,1069.62,2.80,1.50
Reno County,Kansas,64790.00,27625.00,1271.25,16.84,1254.42,51.60,22.00
Republic County,Kansas,5835.00,3113.00,720.31,3.93,716.38,8.10,4.30
Rice County,Kansas,10761.00,4609.00,728.30,1.72,726.58,14.80,6.30
Riley County,Kansas,62843.00,23397.00,622.11,12.55,609.55,103.10,38.40
Rooks County,Kansas,5685.00,2758.00,895.36,7.02,888.34,6.40,3.10
Rush County,Kansas,3551.00,1928.00,718.42,0.21,718.21,4.90,2.70
Russell County,Kansas,7370.00,3871.00,898.98,14.30,884.68,8.30,4.40
Saline County,Kansas,53597.00,22695.00,721.28,1.67,719.61,74.50,31.50
Scott County,Kansas,5120.00,2291.00,717.64,0.12,717.52,7.10,3.20
Sedgwick County,Kansas,452869.00,191133.00,1009.41,10.03,999.38,453.20,191.30
Seward County,Kansas,22510.00,8027.00,640.51,0.99,639.52,35.20,12.60
Shawnee County,Kansas,169871.00,73768.00,556.32,6.50,549.82,309.00,134.20
Sheridan County,Kansas,2813.00,1263.00,896.61,0.25,896.36,3.10,1.40
Sherman County,Kansas,6760.00,3184.00,1056.01,0.21,1055.80,6.40,3.00
Smith County,Kansas,4536.00,2326.00,896.53,1.10,895.43,5.10,2.60
Stafford County,Kansas,4789.00,2458.00,794.72,2.67,792.05,6.00,3.10
Stanton County,Kansas,2406.00,1007.00,680.06,0.06,680.00,3.50,1.50
Stevens County,Kansas,5463.00,2265.00,727.71,0.18,727.53,7.50,3.10
Sumner County,Kansas,25946.00,10877.00,1184.78,2.98,1181.81,22.00,9.20
Thomas County,Kansas,8180.00,3562.00,1074.90,0.11,1074.78,7.60,3.30
Trego County,Kansas,3319.00,1723.00,899.02,10.73,888.29,3.70,1.90
Wabaunsee County,Kansas,6885.00,3033.00,799.80,2.41,797.38,8.60,3.80
Wallace County,Kansas,1749.00,791.00,914.05,0.05,913.99,1.90,0.90
Washington County,Kansas,6483.00,3142.00,898.84,0.38,898.46,7.20,3.50
Wichita County,Kansas,2531.00,1119.00,718.54,0.02,718.52,3.50,1.60
Wilson County,Kansas,10332.00,4937.00,574.97,1.17,573.81,18.00,8.60
Woodson County,Kansas,3788.00,2076.00,505.45,4.85,500.61,7.60,4.10
Wyandotte County,Kansas,157882.00,65892.00,155.69,4.30,151.39,1042.90,435.20
Adair County,Kentucky,17244.00,7792.00,412.23,5.39,406.84,42.40,19.20
Allen County,Kentucky,17800.00,8057.00,352.04,5.92,346.12,51.40,23.30
Anderson County,Kentucky,19111.00,7752.00,204.28,1.61,202.67,94.30,38.20
Ballard County,Kentucky,8286.00,3837.00,273.60,22.44,251.16,33.00,15.30
Barren County,Kentucky,38033.00,17095.00,499.93,8.96,490.97,77.50,34.80
Bath County,Kentucky,11085.00,4994.00,283.94,4.48,279.46,39.70,17.90
Bell County,Kentucky,30060.00,13341.00,361.35,0.58,360.77,83.30,37.00
Boone County,Kentucky,85991.00,33351.00,256.96,10.70,246.26,349.20,135.40
Bourbon County,Kentucky,19360.00,8349.00,291.66,0.23,291.43,66.40,28.60
Boyd County,Kentucky,49752.00,21976.00,161.82,1.65,160.17,310.60,137.20
Boyle County,Kentucky,27697.00,11418.00,182.99,1.09,181.90,152.30,62.80
Bracken County,Kentucky,8279.00,3715.00,208.89,5.67,203.22,40.70,18.30
Breathitt County,Kentucky,16100.00,6812.00,495.29,0.09,495.19,32.50,13.80
Breckinridge County,Kentucky,18648.00,9890.00,585.53,13.12,572.41,32.60,17.30
Bullitt County,Kentucky,61236.00,23160.00,300.20,1.12,299.08,204.80,77.40
Butler County,Kentucky,13010.00,5815.00,431.52,3.44,428.08,30.40,13.60
Caldwell County,Kentucky,13060.00,6126.00,348.18,1.20,346.98,37.60,17.70
Calloway County,Kentucky,34177.00,16069.00,410.79,24.53,386.25,88.50,41.60
Campbell County,Kentucky,88616.00,36898.00,159.43,7.87,151.55,584.70,243.50
Carlisle County,Kentucky,5351.00,2490.00,199.02,6.54,192.49,27.80,12.90
Carroll County,Kentucky,10155.00,4439.00,137.27,7.18,130.09,78.10,34.10
Carter County,Kentucky,26889.00,11534.00,412.15,1.55,410.60,65.50,28.10
Casey County,Kentucky,15447.00,7242.00,445.73,0.12,445.61,34.70,16.30
Christian County,Kentucky,72265.00,27182.00,724.01,2.69,721.32,100.20,37.70
Clark County,Kentucky,33144.00,13749.00,255.16,0.85,254.31,130.30,54.10
Clay County,Kentucky,24556.00,9439.00,471.08,0.07,471.01,52.10,20.00
Clinton County,Kentucky,9634.00,4888.00,205.54,8.09,197.46,48.80,24.80
Crittenden County,Kentucky,9384.00,4410.00,370.95,8.81,362.14,25.90,12.20
Cumberland County,Kentucky,7147.00,3567.00,310.85,5.02,305.82,23.40,11.70
Daviess County,Kentucky,91545.00,38432.00,476.27,13.88,462.39,198.00,83.10
Edmonson County,Kentucky,11644.00,6104.00,308.01,5.39,302.62,38.50,20.20
Elliott County,Kentucky,6748.00,3107.00,235.20,1.24,233.96,28.80,13.30
Estill County,Kentucky,15307.00,6824.00,255.70,1.76,253.93,60.30,26.90
Fayette County,Kentucky,260512.00,116167.00,285.52,1.00,284.52,915.60,408.30
Fleming County,Kentucky,13792.00,6120.00,351.47,0.62,350.84,39.30,17.40
Floyd County,Kentucky,42441.00,18551.00,395.46,1.16,394.29,107.60,47.00
Franklin County,Kentucky,47687.00,21409.00,212.11,1.65,210.46,226.60,101.70
Fulton County,Kentucky,7752.00,3697.00,230.55,21.60,208.95,37.10,17.70
Gallatin County,Kentucky,7870.00,3362.00,104.67,5.87,98.81,79.70,34.00
Garrard County,Kentucky,14792.00,6414.00,233.88,2.67,231.21,64.00,27.70
Grant County,Kentucky,22384.00,9306.00,260.79,0.86,259.93,86.10,35.80
Graves County,Kentucky,37028.00,16340.00,556.46,0.87,555.59,66.60,29.40
Grayson County,Kentucky,24053.00,12802.00,510.85,7.17,503.68,47.80,25.40
Green County,Kentucky,11518.00,5420.00,288.78,0.12,288.66,39.90,18.80
Greenup County,Kentucky,36891.00,15977.00,354.51,8.41,346.11,106.60,46.20
Hancock County,Kentucky,8392.00,3600.00,198.92,10.12,188.80,44.40,19.10
Hardin County,Kentucky,94174.00,37673.00,629.86,1.88,627.98,150.00,60.00
Harlan County,Kentucky,33202.00,15017.00,467.97,0.78,467.20,71.10,32.10
Harrison County,Kentucky,17983.00,7660.00,309.88,0.20,309.68,58.10,24.70
Hart County,Kentucky,17445.00,8045.00,417.91,1.98,415.93,41.90,19.30
Henderson County,Kentucky,44829.00,19466.00,467.24,27.11,440.12,101.90,44.20
Henry County,Kentucky,15060.00,6381.00,291.11,1.79,289.32,52.10,22.10
Hickman County,Kentucky,5262.00,2436.00,252.94,8.49,244.44,21.50,10.00
Hopkins County,Kentucky,46519.00,20668.00,554.23,3.67,550.56,84.50,37.50
Jackson County,Kentucky,13495.00,6065.00,346.57,0.24,346.33,39.00,17.50
Jefferson County,Kentucky,693604.00,305835.00,398.58,13.49,385.09,1801.20,794.20
Jessamine County,Kentucky,39041.00,14646.00,174.45,1.32,173.13,225.50,84.60
Johnson County,Kentucky,23445.00,10236.00,263.94,2.40,261.54,89.60,39.10
Kenton County,Kentucky,151464.00,63571.00,164.38,2.42,161.97,935.20,392.50
Knott County,Kentucky,17649.00,7579.00,353.01,0.82,352.19,50.10,21.50
Knox County,Kentucky,31795.00,13999.00,387.71,0.04,387.66,82.00,36.10
Larue County,Kentucky,13373.00,5860.00,263.72,0.53,263.20,50.80,22.30
Laurel County,Kentucky,52715.00,22317.00,443.74,8.07,435.67,121.00,51.20
Lawrence County,Kentucky,15569.00,7040.00,420.12,1.35,418.78,37.20,16.80
Lee County,Kentucky,7916.00,3321.00,211.22,1.36,209.86,37.70,15.80
Leslie County,Kentucky,12401.00,5502.00,404.36,0.33,404.03,30.70,13.60
Letcher County,Kentucky,25277.00,11405.00,339.12,0.07,339.04,74.60,33.60
Lewis County,Kentucky,14092.00,6173.00,495.70,11.21,484.49,29.10,12.70
Lincoln County,Kentucky,23361.00,10127.00,336.47,0.21,336.26,69.50,30.10
Livingston County,Kentucky,9804.00,4772.00,342.20,26.12,316.08,31.00,15.10
Logan County,Kentucky,26573.00,11875.00,557.10,1.41,555.68,47.80,21.40
Lyon County,Kentucky,8080.00,4189.00,256.42,40.71,215.70,37.50,19.40
McCracken County,Kentucky,65514.00,30361.00,268.08,17.05,251.02,261.00,120.90
