gender,class,gpa,height,pulse,childrank,numchildren,haircut,randomnum,speedtickets,cds,smoker,hourssleep,selfhandedness,momhandedness,dadhandedness,region,oncampus,cupscoffee,birthday,overtwenty
M,Fr,1.3,68,,1,4,12,23,0,40,Smoke,7,R,R,R,Suburban,Y,0,Mo,N
F,Fr,3.72,68,84,1,5,3,14,1,32,Non,6,R,R,R,Suburban,Y,1,We,N
F,Fr,3.43,72,65,1,2,25,19,0,25,Non,7.5,R,R,R,Rural,Y,0,Sa,N
F,So,3.614,69,80,2,3,0,5,0,10,Non,6,R,R,R,Urban,Y,0,Tu,Y
F,Sr,3.49,64,,1,3,80,17,0,30,Non,8,R,R,R,Urban,Y,0,Sa,Y
F,So,3.1,63,,1,1,16,7,1,14,Non,6,R,R,R,Urban,Y,1,Su,Y
F,So,3.1,63,,1,1,16,7,1,14,Non,6,R,R,R,Urban,Y,1,Su,Y
M,Ju,2.3,74,85,3,3,0,17,2,150,Non,5,R,R,R,Urban,N,1,Fr,Y
M,Sr,2.9,68,61,1,2,10.00,7,1,50,Non,7,,,,Suburban,N,0,Sa,Y
M,Sr,2.9,75,65,5,5,0.00,12,1,30,Non,11,L,L,R,Rural,N,0,Tu,Y
M,Sr,2.9,75,75,3,3,13.00,3,0,60,Non,9,R,R,R,Suburban,N,0,Sa,Y
F,Fr,3.488,66,75,1,3,25,9,1,50,Non,6,R,R,R,Suburban,Y,0,Tu,Y
F,Fr,3.471,69,76,2,2,15,4,0,20,Non,6,R,R,R,Suburban,Y,0,Sa,N
M,Fr,2.0,70,,2,2,0,6,0,54,Non,10,L,R,R,Suburban,Y,4,Th,N
M,So,2.7,74,,3,4,0,9,2,110,Smoke,9,R,R,R,Suburban,N,0,Su,N
F,So,2.336,66,92,4,2,70,17,2,75,Smoke,7,R,R,R,Urban,Y,2,We,N
F,So,2.6,62,76,3,2,70,9,2,30,Smoke,6,R,R,R,Suburban,Y,0,Mo,N
