"age","net","gun","sex","year","previous","nruns","id"
59,NA,89.25,"M",2007,4,5,"r2038"
56,137.3,144,"M",2006,0,2,"r2039"
57,NA,142.4,"M",2007,1,2,"r2039"
50,NA,101.6,"M",2007,0,2,"r2040"
51,NA,100.6,"M",2008,1,2,"r2040"
59,73.07,73.48,"M",2005,0,3,"r2041"
60,69.92,69.93,"M",2006,1,3,"r2041"
61,NA,71.57,"M",2007,2,3,"r2041"
26,71.73,72.37,"M",2004,0,3,"r2042"
27,73.08,73.52,"M",2005,1,3,"r2042"
29,NA,70.73,"M",2007,2,3,"r2042"
51,91.43,91.43,"M",2005,0,3,"r2043"
52,102.4,108.1,"M",2006,1,3,"r2043"
54,NA,90.43,"M",2008,2,3,"r2043"
28,81.93,83.72,"M",2000,0,2,"r2044"
29,75.5,77.2,"M",2001,1,2,"r2044"
64,NA,121.7,"M",2007,0,2,"r2045"
65,NA,118.8,"M",2008,1,2,"r2045"
49,NA,72.82,"M",1999,0,6,"r2046"
50,77.87,79.07,"M",2000,1,6,"r2046"
51,75.6,76.6,"M",2001,2,6,"r2046"
52,78.15,81.97,"M",2002,3,6,"r2046"
53,76.32,77.33,"M",2003,4,6,"r2046"
54,80.6,82.17,"M",2004,5,6,"r2046"
46,81.53,81.88,"M",2000,0,5,"r2047"
48,77.53,77.85,"M",2002,1,5,"r2047"
49,78.28,78.6,"M",2003,2,5,"r2047"
50,93.88,96.17,"M",2004,3,5,"r2047"
54,NA,106.5,"M",2008,4,5,"r2047"
32,66.83,67.07,"M",2000,0,3,"r2048"
33,62.43,65.92,"M",2001,1,3,"r2048"
34,62.65,62.93,"M",2002,2,3,"r2048"
50,96.82,99.92,"M",2004,0,2,"r2049"
51,92.15,98.25,"M",2005,1,2,"r2049"
33,103.3,108.3,"M",2003,0,2,"r2050"
34,110.5,116.5,"M",2004,1,2,"r2050"
61,NA,104,"M",1999,0,3,"r2051"
62,104.7,106.5,"M",2000,1,3,"r2051"
63,95.78,98.65,"M",2001,2,3,"r2051"
61,91.68,94.55,"M",2000,0,2,"r2052"
62,91.3,94.68,"M",2001,1,2,"r2052"
50,NA,117,"M",1999,0,2,"r2053"
51,114.7,116.5,"M",2000,1,2,"r2053"
54,NA,98.33,"M",1999,0,4,"r2054"
57,92.68,95.35,"M",2002,1,4,"r2054"
59,98.45,102.6,"M",2004,2,4,"r2054"
60,99.05,103.8,"M",2005,3,4,"r2054"
49,NA,74.13,"M",1999,0,3,"r2055"
55,93.17,94.1,"M",2005,1,3,"r2055"
57,NA,99.95,"M",2007,2,3,"r2055"
57,NA,90.9,"M",1999,0,7,"r2056"
58,92.08,94.28,"M",2000,1,7,"r2056"
59,89.1,92.03,"M",2001,2,7,"r2056"
61,91.7,94.42,"M",2003,3,7,"r2056"
62,94.05,97.77,"M",2004,4,7,"r2056"
63,93.78,97.43,"M",2005,5,7,"r2056"
65,NA,95.6,"M",2007,6,7,"r2056"
35,91.97,95.48,"M",2000,0,2,"r2057"
36,93.62,95.23,"M",2001,1,2,"r2057"
45,NA,75.47,"M",1999,0,6,"r2058"
46,74.4,75.57,"M",2000,1,6,"r2058"
47,74.5,75.58,"M",2001,2,6,"r2058"
49,76.15,77,"M",2003,3,6,"r2058"
52,81.65,84.12,"M",2006,4,6,"r2058"
53,NA,82.28,"M",2007,5,6,"r2058"
36,83.93,85,"M",2003,0,4,"r2059"
37,78.43,79.97,"M",2004,1,4,"r2059"
38,78.88,79.38,"M",2005,2,4,"r2059"
40,NA,78.43,"M",2007,3,4,"r2059"
35,70.17,72.52,"M",2001,0,3,"r2060"
36,68.45,70.83,"M",2002,1,3,"r2060"
37,77.63,77.98,"M",2003,2,3,"r2060"
33,NA,86.77,"M",1999,0,3,"r2061"
34,77.17,78.77,"M",2000,1,3,"r2061"
35,83.6,87.87,"M",2001,2,3,"r2061"
23,79.9,85.23,"M",2005,0,2,"r2062"
26,NA,77.7,"M",2008,1,2,"r2062"
39,77.1,78.03,"M",2004,0,3,"r2063"
40,78.22,79.07,"M",2005,1,3,"r2063"
43,NA,87.2,"M",2008,2,3,"r2063"
52,NA,89.43,"M",1999,0,6,"r2064"
53,95.55,98.07,"M",2000,1,6,"r2064"
54,99.08,101.7,"M",2001,2,6,"r2064"
56,99.32,101.3,"M",2003,3,6,"r2064"
58,97.87,98.5,"M",2005,4,6,"r2064"
60,NA,102.6,"M",2007,5,6,"r2064"
30,95.1,99.08,"M",2004,0,2,"r2065"
31,93.32,96.67,"M",2005,1,2,"r2065"
40,NA,93.52,"M",1999,0,2,"r2066"
41,69.18,69.62,"M",2000,1,2,"r2066"
51,NA,89.67,"M",1999,0,2,"r2067"
54,100.3,103.3,"M",2002,1,2,"r2067"
40,NA,134,"M",2007,0,2,"r2068"
41,NA,129.2,"M",2008,1,2,"r2068"
41,NA,54.3,"M",1999,0,3,"r2069"
42,55.13,55.17,"M",2000,1,3,"r2069"
43,56.9,56.95,"M",2001,2,3,"r2069"
43,70.87,70.87,"M",2002,0,5,"r2070"
44,67.27,67.27,"M",2003,1,5,"r2070"
45,70,70.45,"M",2004,2,5,"r2070"
46,67.85,68.13,"M",2005,3,5,"r2070"
49,NA,72.13,"M",2008,4,5,"r2070"
33,88.73,95.43,"M",2003,0,2,"r2071"
34,82.2,84.38,"M",2004,1,2,"r2071"
25,NA,74.63,"M",2007,0,2,"r2072"
26,NA,77.27,"M",2008,1,2,"r2072"
24,84.78,91.33,"M",2004,0,2,"r2073"
26,91.75,96.12,"M",2006,1,2,"r2073"
53,NA,83.87,"M",1999,0,8,"r2074"
54,89.77,93.02,"M",2000,1,8,"r2074"
55,83.53,87.47,"M",2001,2,8,"r2074"
56,86.67,89.6,"M",2002,3,8,"r2074"
57,90.73,92.68,"M",2003,4,8,"r2074"
58,88.02,89.42,"M",2004,5,8,"r2074"
60,94.2,100.8,"M",2006,6,8,"r2074"
61,NA,90.12,"M",2007,7,8,"r2074"
23,76.67,81.6,"M",2004,0,2,"r2075"
24,75.73,76.02,"M",2005,1,2,"r2075"
40,NA,96.87,"F",2007,0,2,"r2076"
41,NA,97.55,"F",2008,1,2,"r2076"
29,94.17,98.78,"F",2004,0,3,"r2077"
32,NA,98.17,"F",2007,1,3,"r2077"
33,NA,100.6,"F",2008,2,3,"r2077"
40,100.4,104.6,"F",2000,0,7,"r2078"
41,96.17,101.2,"F",2001,1,7,"r2078"
42,94.23,98.33,"F",2002,2,7,"r2078"
43,96.35,100.5,"F",2003,3,7,"r2078"
44,100.8,107,"F",2004,4,7,"r2078"
47,NA,100.2,"F",2007,5,7,"r2078"
48,NA,107.2,"F",2008,6,7,"r2078"
30,85.18,88.35,"F",2004,0,3,"r2079"
33,NA,68.23,"F",2007,1,3,"r2079"
34,NA,69.78,"F",2008,2,3,"r2079"
25,94.17,98.23,"F",2003,0,3,"r2080"
26,91.95,96.32,"F",2004,1,3,"r2080"
29,NA,108.2,"F",2007,2,3,"r2080"
41,NA,108.3,"F",1999,0,4,"r2081"
42,120.4,123.6,"F",2000,1,4,"r2081"
43,118.6,122.6,"F",2001,2,4,"r2081"
44,88.33,91.65,"F",2002,3,4,"r2081"
27,111.8,116.4,"F",2003,0,3,"r2082"
28,115,119.4,"F",2004,1,3,"r2082"
29,122,127.9,"F",2005,2,3,"r2082"
25,NA,116.8,"F",2007,0,2,"r2083"
26,NA,123,"F",2008,1,2,"r2083"
25,95.95,102.5,"F",2002,0,2,"r2084"
26,104.8,109.9,"F",2003,1,2,"r2084"
27,102.4,110.6,"F",2006,0,2,"r2085"
28,NA,99.2,"F",2007,1,2,"r2085"
27,87.92,90.48,"F",2004,0,2,"r2086"
29,109.6,113.1,"F",2006,1,2,"r2086"
43,123.6,123.6,"F",2002,0,2,"r2087"
44,120.1,125.9,"F",2003,1,2,"r2087"
33,141.9,145.3,"F",2002,0,2,"r2088"
34,139,145.9,"F",2003,1,2,"r2088"
46,NA,95.1,"F",1999,0,3,"r2089"
47,88.4,90.85,"F",2000,1,3,"r2089"
48,90.47,101.5,"F",2001,2,3,"r2089"
37,88.92,90.12,"F",2003,0,3,"r2090"
38,82.6,89.38,"F",2004,1,3,"r2090"
39,91.35,93.82,"F",2005,2,3,"r2090"
27,NA,119.6,"F",2007,0,2,"r2091"
28,NA,111.4,"F",2008,1,2,"r2091"
31,92,93.88,"F",2000,0,2,"r2092"
39,NA,104.1,"F",2008,1,2,"r2092"
48,99.1,101.7,"F",2003,0,2,"r2093"
50,100.6,105.9,"F",2005,1,2,"r2093"
24,NA,90.35,"F",2007,0,2,"r2094"
25,NA,102,"F",2008,1,2,"r2094"
43,NA,118.8,"F",1999,0,4,"r2095"
47,109.4,112.9,"F",2003,1,4,"r2095"
48,113.8,121.1,"F",2004,2,4,"r2095"
51,NA,90.52,"F",2007,3,4,"r2095"
32,93.52,95.1,"F",2002,0,3,"r2096"
33,95.5,99.43,"F",2003,1,3,"r2096"
34,101.4,109,"F",2004,2,3,"r2096"
32,97.6,99.23,"F",2000,0,2,"r2097"
33,98.18,100.3,"F",2001,1,2,"r2097"
35,97.25,98.68,"F",2005,0,3,"r2098"
37,NA,95.68,"F",2007,1,3,"r2098"
38,NA,97.65,"F",2008,2,3,"r2098"
41,96.47,102.9,"F",2005,0,2,"r2099"
43,NA,85.63,"F",2007,1,2,"r2099"
51,106.2,112.6,"F",2005,0,2,"r2100"
52,101.9,109.8,"F",2006,1,2,"r2100"
32,NA,117.8,"F",2007,0,2,"r2101"
33,NA,122.1,"F",2008,1,2,"r2101"
34,86.2,90.45,"F",2000,0,3,"r2102"
35,79.53,81.7,"F",2001,1,3,"r2102"
36,85.07,90.78,"F",2002,2,3,"r2102"
41,84.48,86.17,"F",2000,0,2,"r2103"
42,87.25,92.67,"F",2001,1,2,"r2103"
54,110.6,113.7,"F",2005,0,2,"r2104"
55,110.6,113.6,"F",2006,1,2,"r2104"
42,NA,86.97,"F",2007,0,2,"r2105"
43,NA,79.9,"F",2008,1,2,"r2105"
30,110.2,113.7,"F",2002,0,2,"r2106"
33,108.2,115.6,"F",2005,1,2,"r2106"
44,NA,92.88,"F",1999,0,2,"r2107"
45,83.33,85.3,"F",2000,1,2,"r2107"
32,104.7,107.4,"F",2001,0,3,"r2108"
34,98.2,102.5,"F",2003,1,3,"r2108"
35,108.9,112.4,"F",2004,2,3,"r2108"
42,98.62,101.9,"F",2000,0,6,"r2109"
44,95.93,98.03,"F",2002,1,6,"r2109"
45,96.28,99.63,"F",2003,2,6,"r2109"
46,92.28,95.62,"F",2004,3,6,"r2109"
47,90.95,98.73,"F",2005,4,6,"r2109"
48,90.38,92.33,"F",2006,5,6,"r2109"
28,NA,81.73,"F",2007,0,2,"r2110"
29,NA,87.48,"F",2008,1,2,"r2110"
44,142.2,149.2,"F",2006,0,2,"r2111"
45,NA,92,"F",2007,1,2,"r2111"
32,114.1,117.2,"M",2000,0,2,"r2112"
33,103,104.1,"M",2001,1,2,"r2112"
59,81.27,81.42,"M",2000,0,7,"r2113"
60,83.27,84.07,"M",2001,1,7,"r2113"
61,88.58,89.33,"M",2002,2,7,"r2113"
62,85.52,89.02,"M",2003,3,7,"r2113"
63,83.35,83.62,"M",2004,4,7,"r2113"
65,97.38,99.27,"M",2006,5,7,"r2113"
66,NA,96.58,"M",2007,6,7,"r2113"
34,89.02,91.28,"M",2001,0,4,"r2114"
36,82.35,84.55,"M",2003,1,4,"r2114"
37,81.4,83.58,"M",2004,2,4,"r2114"
39,77.62,81.5,"M",2006,3,4,"r2114"
43,141.6,146.4,"F",2005,0,2,"r2115"
44,149.6,158.2,"F",2006,1,2,"r2115"
39,79.42,87.2,"M",2001,0,5,"r2116"
40,79.12,81.73,"M",2002,1,5,"r2116"
41,89.82,91.85,"M",2003,2,5,"r2116"
43,106.2,114,"M",2005,3,5,"r2116"
44,89.13,89.98,"M",2006,4,5,"r2116"
25,106,111.2,"F",2001,0,5,"r2117"
26,107.1,110.6,"F",2002,1,5,"r2117"
27,101.9,106.9,"F",2003,2,5,"r2117"
28,100.3,102.9,"F",2004,3,5,"r2117"
29,96.13,98.82,"F",2005,4,5,"r2117"
40,72.22,72.77,"M",2003,0,4,"r2118"
42,97.75,102.5,"M",2005,1,4,"r2118"
44,NA,70.65,"M",2007,2,4,"r2118"
45,NA,78.45,"M",2008,3,4,"r2118"
37,75.53,76.53,"M",2002,0,4,"r2119"
38,77.62,78.33,"M",2003,1,4,"r2119"
41,83.3,86.53,"M",2006,2,4,"r2119"
42,NA,81.85,"M",2007,3,4,"r2119"
49,81.23,83.12,"M",2004,0,3,"r2120"
51,84.72,87.88,"M",2006,1,3,"r2120"
52,NA,85.27,"M",2007,2,3,"r2120"
54,101.2,108.9,"M",2004,0,3,"r2121"
55,97.33,100.7,"M",2005,1,3,"r2121"
58,NA,111.7,"M",2008,2,3,"r2121"
51,NA,111.6,"M",1999,0,2,"r2122"
52,100.7,103,"M",2000,1,2,"r2122"
32,90.35,91.92,"M",2001,0,2,"r2123"
39,NA,79.35,"M",2008,1,2,"r2123"
27,90.28,98.65,"F",2005,0,2,"r2124"
30,NA,81.53,"F",2008,1,2,"r2124"
24,NA,89.12,"F",2007,0,2,"r2125"
25,NA,88.33,"F",2008,1,2,"r2125"
29,80.27,82.93,"M",2006,0,2,"r2126"
30,NA,77.95,"M",2007,1,2,"r2126"
30,NA,91.83,"F",2007,0,2,"r2127"
31,NA,97.9,"F",2008,1,2,"r2127"
39,76.1,78,"M",2004,0,2,"r2128"
40,73.97,77.07,"M",2005,1,2,"r2128"
36,98.33,99.9,"M",2003,0,2,"r2129"
37,90.48,92.78,"M",2004,1,2,"r2129"
30,74.45,74.73,"M",2001,0,2,"r2130"
34,70.3,71.07,"M",2005,1,2,"r2130"
28,79.27,80.27,"M",2000,0,2,"r2131"
30,75.73,77.47,"M",2002,1,2,"r2131"
39,NA,82.95,"M",1999,0,6,"r2132"
40,85.57,90.15,"M",2000,1,6,"r2132"
41,90.83,91.65,"M",2001,2,6,"r2132"
42,86.98,88.08,"M",2002,3,6,"r2132"
43,90.33,91.4,"M",2003,4,6,"r2132"
44,92.28,93.23,"M",2004,5,6,"r2132"
35,NA,52.37,"M",1999,0,3,"r2133"
36,53.35,53.4,"M",2000,1,3,"r2133"
37,52.17,52.18,"M",2001,2,3,"r2133"
48,NA,80.93,"M",1999,0,7,"r2134"
49,84.23,84.63,"M",2000,1,7,"r2134"
50,75.92,76.5,"M",2001,2,7,"r2134"
51,81.78,83.5,"M",2002,3,7,"r2134"
52,85.27,85.83,"M",2003,4,7,"r2134"
53,88.82,90.43,"M",2004,5,7,"r2134"
54,86.12,87.38,"M",2005,6,7,"r2134"
26,80.63,81.67,"M",2000,0,2,"r2135"
30,93.07,100.2,"M",2004,1,2,"r2135"
26,86.05,88.5,"M",2004,0,2,"r2136"
27,79.7,79.95,"M",2005,1,2,"r2136"
33,NA,87.17,"M",2007,0,2,"r2137"
34,NA,103.2,"M",2008,1,2,"r2137"
26,79.08,81.6,"M",2002,0,5,"r2138"
27,75.88,76.37,"M",2003,1,5,"r2138"
28,74.23,74.62,"M",2004,2,5,"r2138"
30,89.77,94.22,"M",2006,3,5,"r2138"
31,NA,90.18,"M",2007,4,5,"r2138"
41,95.28,101.2,"M",2003,0,3,"r2139"
42,94.42,102.2,"M",2004,1,3,"r2139"
43,101.3,103.9,"M",2005,2,3,"r2139"
39,82.93,85.27,"M",2000,0,2,"r2140"
42,84.87,87.48,"M",2003,1,2,"r2140"
58,83.38,86.67,"F",2004,0,2,"r2141"
62,NA,76.62,"F",2008,1,2,"r2141"
54,85.85,86.9,"F",2001,0,2,"r2142"
60,NA,79.38,"F",2007,1,2,"r2142"
29,65.92,66.15,"M",2006,0,2,"r2143"
30,NA,64.2,"M",2007,1,2,"r2143"
38,NA,71.57,"M",1999,0,5,"r2144"
42,75.77,76.38,"M",2003,1,5,"r2144"
43,79.67,80.85,"M",2004,2,5,"r2144"
44,77.78,78.93,"M",2005,3,5,"r2144"
45,76.87,79.83,"M",2006,4,5,"r2144"
30,121.4,125.9,"F",2000,0,2,"r2145"
32,99.95,104.4,"F",2002,1,2,"r2145"
50,76.98,79.07,"M",2004,0,4,"r2146"
51,84.5,85.52,"M",2005,1,4,"r2146"
52,75.4,77.55,"M",2006,2,4,"r2146"
53,NA,74.22,"M",2007,3,4,"r2146"
45,82.5,85.92,"M",2004,0,4,"r2147"
47,82.43,85.68,"M",2006,1,4,"r2147"
48,NA,82.73,"M",2007,2,4,"r2147"
49,NA,89.1,"M",2008,3,4,"r2147"
28,84.58,87.3,"M",2003,0,2,"r2148"
33,NA,97.03,"M",2008,1,2,"r2148"
42,NA,98.15,"M",1999,0,8,"r2149"
44,94.45,98.4,"M",2001,1,8,"r2149"
45,96.15,99.67,"M",2002,2,8,"r2149"
46,101,103.8,"M",2003,3,8,"r2149"
47,105.7,108.2,"M",2004,4,8,"r2149"
48,97.73,100.2,"M",2005,5,8,"r2149"
49,101,111,"M",2006,6,8,"r2149"
50,NA,96.18,"M",2007,7,8,"r2149"
26,54.02,54.08,"M",2002,0,3,"r2150"
27,52.65,52.68,"M",2003,1,3,"r2150"
32,NA,58.48,"M",2008,2,3,"r2150"
28,54.58,54.6,"M",2005,0,2,"r2151"
30,NA,59.37,"M",2007,1,2,"r2151"
27,73.65,86.67,"M",2001,0,2,"r2152"
30,75.63,76.87,"M",2004,1,2,"r2152"
29,56.93,57.02,"M",2001,0,2,"r2153"
30,60.1,60.15,"M",2002,1,2,"r2153"
22,101.4,109.4,"M",2005,0,2,"r2154"
23,97.65,107.9,"M",2006,1,2,"r2154"
39,NA,91.32,"M",1999,0,2,"r2155"
40,85.05,87.18,"M",2000,1,2,"r2155"
25,71.9,73.07,"M",2001,0,6,"r2156"
26,70.23,70.43,"M",2002,1,6,"r2156"
27,69.35,69.57,"M",2003,2,6,"r2156"
28,77.67,78.42,"M",2004,3,6,"r2156"
31,NA,71.35,"M",2007,4,6,"r2156"
32,NA,70.5,"M",2008,5,6,"r2156"
25,87.2,94.22,"M",2005,0,2,"r2157"
26,88.03,92.75,"M",2006,1,2,"r2157"
35,103.8,108.4,"M",2002,0,2,"r2158"
36,107.6,111.8,"M",2003,1,2,"r2158"
32,68.82,69.63,"M",2003,0,2,"r2159"
35,71.52,74.03,"M",2006,1,2,"r2159"
28,65.83,66.48,"M",2004,0,2,"r2160"
29,66.22,70.73,"M",2005,1,2,"r2160"
35,87.62,90.12,"M",2002,0,3,"r2161"
36,88.25,93.27,"M",2003,1,3,"r2161"
37,88.93,92.83,"M",2004,2,3,"r2161"
37,64.58,64.72,"M",2003,0,4,"r2162"
38,72.93,73.18,"M",2004,1,4,"r2162"
40,73.25,75.97,"M",2006,2,4,"r2162"
41,NA,73.63,"M",2007,3,4,"r2162"
31,68.65,69.25,"M",2003,0,2,"r2163"
36,NA,66.25,"M",2008,1,2,"r2163"
59,76.57,77.07,"M",2000,0,3,"r2164"
60,81.85,83.33,"M",2001,1,3,"r2164"
63,77.03,78.28,"M",2004,2,3,"r2164"
37,69.65,70.32,"M",2005,0,3,"r2165"
38,71.3,71.57,"M",2006,1,3,"r2165"
39,NA,76.15,"M",2007,2,3,"r2165"
26,108,115,"M",2004,0,2,"r2166"
30,NA,113.4,"M",2008,1,2,"r2166"
25,80.83,84.9,"M",2006,0,3,"r2167"
26,NA,70.08,"M",2007,1,3,"r2167"
27,NA,70.52,"M",2008,2,3,"r2167"
26,72.82,75.7,"M",2000,0,6,"r2168"
27,68.08,68.53,"M",2001,1,6,"r2168"
28,69.27,69.85,"M",2002,2,6,"r2168"
29,79.58,80.73,"M",2003,3,6,"r2168"
32,71.78,72.4,"M",2006,4,6,"r2168"
34,NA,84.87,"M",2008,5,6,"r2168"
53,95.42,103.3,"M",2005,0,4,"r2169"
54,93.62,99.48,"M",2006,1,4,"r2169"
55,NA,102.7,"M",2007,2,4,"r2169"
56,NA,95.15,"M",2008,3,4,"r2169"
40,NA,82.48,"F",1999,0,7,"r2170"
42,81.9,82.48,"F",2001,1,7,"r2170"
43,86.97,88.45,"F",2002,2,7,"r2170"
45,85.78,87.7,"F",2004,3,7,"r2170"
46,82.63,83.75,"F",2005,4,7,"r2170"
48,NA,88.47,"F",2007,5,7,"r2170"
49,NA,86.98,"F",2008,6,7,"r2170"
23,NA,81.95,"M",2007,0,2,"r2171"
24,NA,102.4,"M",2008,1,2,"r2171"
30,89.18,92.38,"M",2005,0,2,"r2172"
32,NA,86.42,"M",2007,1,2,"r2172"
37,82.3,87.37,"M",2001,0,3,"r2173"
38,84.35,85.77,"M",2002,1,3,"r2173"
40,77.9,79.55,"M",2004,2,3,"r2173"
26,NA,75.92,"M",1999,0,2,"r2174"
33,83.83,87.8,"M",2006,1,2,"r2174"
42,70.37,70.55,"F",2000,0,2,"r2175"
45,75.32,75.62,"F",2003,1,2,"r2175"
34,73.53,74.15,"M",2003,0,2,"r2176"
36,82.17,84.52,"M",2005,1,2,"r2176"
29,86.38,95.13,"M",2001,0,6,"r2177"
30,72.45,73.45,"M",2002,1,6,"r2177"
31,67.02,69,"M",2003,2,6,"r2177"
32,70.02,71.47,"M",2004,3,6,"r2177"
34,72.4,74.22,"M",2006,4,6,"r2177"
35,NA,65.37,"M",2007,5,6,"r2177"
36,67.72,68.15,"M",2002,0,4,"r2178"
39,76.7,78.52,"M",2005,1,4,"r2178"
41,NA,74.1,"M",2007,2,4,"r2178"
42,NA,71.87,"M",2008,3,4,"r2178"
24,NA,70.5,"M",2007,0,2,"r2179"
25,NA,71.32,"M",2008,1,2,"r2179"
35,84.9,89.92,"M",2006,0,3,"r2180"
36,NA,84.8,"M",2007,1,3,"r2180"
37,NA,86.38,"M",2008,2,3,"r2180"
35,65.18,65.63,"M",2003,0,2,"r2181"
40,NA,66.87,"M",2008,1,2,"r2181"
40,93.75,98.38,"M",2000,0,7,"r2182"
41,80.77,90.97,"M",2001,1,7,"r2182"
42,84.9,91.17,"M",2002,2,7,"r2182"
43,84.25,89.98,"M",2003,3,7,"r2182"
44,84.68,87.28,"M",2004,4,7,"r2182"
45,84.63,86.95,"M",2005,5,7,"r2182"
48,NA,84.28,"M",2008,6,7,"r2182"
47,85.8,86.42,"M",2000,0,7,"r2183"
49,78.5,79.4,"M",2002,1,7,"r2183"
50,78.18,78.18,"M",2003,2,7,"r2183"
51,80.37,80.55,"M",2004,3,7,"r2183"
52,78.28,79.28,"M",2005,4,7,"r2183"
53,78.73,79.3,"M",2006,5,7,"r2183"
54,NA,79.95,"M",2007,6,7,"r2183"
40,95.05,99.53,"F",2001,0,3,"r2184"
41,98.45,104.4,"F",2002,1,3,"r2184"
43,65.05,65.13,"F",2004,2,3,"r2184"
39,69.13,71.5,"M",2004,0,3,"r2185"
40,76.33,78.2,"M",2005,1,3,"r2185"
43,NA,64.73,"M",2008,2,3,"r2185"
29,79.63,81.93,"M",2000,0,5,"r2186"
30,83.1,85.8,"M",2001,1,5,"r2186"
32,75.3,78.12,"M",2003,2,5,"r2186"
33,70.13,71.03,"M",2004,3,5,"r2186"
34,68.97,71.18,"M",2005,4,5,"r2186"
55,NA,66.25,"M",1999,0,7,"r2187"
56,72.53,73.37,"M",2000,1,7,"r2187"
58,69.47,69.82,"M",2002,2,7,"r2187"
59,70.58,70.93,"M",2003,3,7,"r2187"
60,71.7,72.32,"M",2004,4,7,"r2187"
62,79.65,80.48,"M",2006,5,7,"r2187"
63,NA,84.92,"M",2007,6,7,"r2187"
23,86.43,92.38,"M",2003,0,2,"r2188"
24,96.45,102.3,"M",2004,1,2,"r2188"
44,NA,89.5,"M",1999,0,8,"r2189"
46,85.55,88.2,"M",2001,1,8,"r2189"
47,87.38,89.97,"M",2002,2,8,"r2189"
48,90.85,95.58,"M",2003,3,8,"r2189"
49,94.58,99.55,"M",2004,4,8,"r2189"
51,102.1,105.4,"M",2006,5,8,"r2189"
52,NA,95.78,"M",2007,6,8,"r2189"
53,NA,95.68,"M",2008,7,8,"r2189"
37,85.88,86.57,"M",2003,0,2,"r2190"
38,87.63,90.37,"M",2004,1,2,"r2190"
59,107.8,115.5,"M",2005,0,2,"r2191"
61,NA,107.6,"M",2007,1,2,"r2191"
42,80.05,81.48,"M",2006,0,2,"r2192"
44,NA,82.02,"M",2008,1,2,"r2192"
50,NA,68.12,"M",2007,0,2,"r2193"
51,NA,94.27,"M",2008,1,2,"r2193"
37,97.8,102.9,"M",2002,0,3,"r2194"
38,91.37,94.43,"M",2003,1,3,"r2194"
39,98.45,100.7,"M",2004,2,3,"r2194"
49,116.2,122.1,"M",2006,0,3,"r2195"
50,NA,103.3,"M",2007,1,3,"r2195"
51,NA,105.3,"M",2008,2,3,"r2195"
32,93.12,96.67,"M",2003,0,2,"r2196"
34,104,108.4,"M",2005,1,2,"r2196"
51,116.7,120.4,"M",2001,0,2,"r2197"
55,118.7,123.4,"M",2005,1,2,"r2197"
36,86.18,89.2,"M",2006,0,2,"r2198"
37,NA,87.03,"M",2007,1,2,"r2198"
34,86.92,90.17,"M",2002,0,4,"r2199"
36,87.28,90.12,"M",2004,1,4,"r2199"
37,82.68,84.1,"M",2005,2,4,"r2199"
38,86.3,88.32,"M",2006,3,4,"r2199"
36,81.05,81.47,"M",2001,0,3,"r2200"
37,85.05,86.48,"M",2002,1,3,"r2200"
39,86.72,87.75,"M",2004,2,3,"r2200"
36,109.1,113.3,"M",2004,0,2,"r2201"
37,132.8,139.8,"M",2005,1,2,"r2201"
35,NA,104.5,"M",1999,0,4,"r2202"
36,110.5,114,"M",2000,1,4,"r2202"
38,111.7,117.2,"M",2002,2,4,"r2202"
39,119.2,122,"M",2003,3,4,"r2202"
35,85.72,87.32,"M",2003,0,2,"r2203"
36,92.52,96.1,"M",2004,1,2,"r2203"
24,81.8,87.9,"M",2006,0,3,"r2204"
25,NA,84.2,"M",2007,1,3,"r2204"
26,NA,76.68,"M",2008,2,3,"r2204"
38,79.6,80.83,"F",2002,0,2,"r2205"
39,78.37,79.57,"F",2003,1,2,"r2205"
33,NA,NA,"M",2005,0,3,"r2206"
34,65.13,66.1,"M",2006,1,3,"r2206"
35,NA,67.83,"M",2007,2,3,"r2206"
27,NA,70.28,"M",1999,0,5,"r2207"
29,67.18,67.68,"M",2001,1,5,"r2207"
30,77.72,80.07,"M",2002,2,5,"r2207"
31,87.63,88.6,"M",2003,3,5,"r2207"
35,NA,76.95,"M",2007,4,5,"r2207"
28,NA,119,"M",2007,0,2,"r2208"
29,NA,128.7,"M",2008,1,2,"r2208"
31,87.93,92.8,"M",2004,0,2,"r2209"
32,89.58,92.23,"M",2005,1,2,"r2209"
31,60.67,60.67,"M",2005,0,2,"r2210"
32,59.23,59.45,"M",2006,1,2,"r2210"
28,97.9,100.5,"M",2000,0,4,"r2211"
30,98.33,103.2,"M",2002,1,4,"r2211"
32,93.67,98.73,"M",2004,2,4,"r2211"
33,122,128.1,"M",2005,3,4,"r2211"
37,99.77,105.4,"F",2004,0,2,"r2212"
40,NA,95.05,"F",2007,1,2,"r2212"
26,96.68,100,"F",2004,0,2,"r2213"
27,91.88,96.3,"F",2005,1,2,"r2213"
29,106.2,109.1,"F",2002,0,2,"r2214"
30,110.1,115.6,"F",2003,1,2,"r2214"
25,NA,97.92,"F",1999,0,2,"r2215"
29,88.1,90.98,"F",2003,1,2,"r2215"
24,69.43,69.75,"M",2003,0,5,"r2216"
25,64.62,64.78,"M",2004,1,5,"r2216"
26,61.32,61.4,"M",2005,2,5,"r2216"
28,NA,57.9,"M",2007,3,5,"r2216"
29,NA,63.87,"M",2008,4,5,"r2216"
25,71.97,73.08,"M",2001,0,6,"r2217"
26,76.98,79.1,"M",2002,1,6,"r2217"
27,71.35,71.8,"M",2003,2,6,"r2217"
28,74.88,76.35,"M",2004,3,6,"r2217"
